,ComplaintTrain,ComplaintTrainLabel,EmotionTrain,EmotionTrainLabel,SentimentTrain,SentimentTrainLabel,SeverityTrain,SeverityTrainLabel
0,now that both of u are not responsible for d transaction i think we should meet in d court i vl see to it that the biggest pvt sec bank and d biggest online site answers dis,1,is blockchain gaming people are always worried about the transaction speed because they worry about their transaction going to fail . how fast and secure is dna cat gaming platform ? if the number of users spikes will transactions on dna cat get congested ?,4,bitcoin price prediction failure to return to 33 00 levels will bring support levels into play binance ethereum cryptocurrency crypto,1,person tipping hand someone once asked me . which is the best policy ? i replied mutual funds slightly smiling face atleast betrayal toh nhi milta broken heart,4
1,coming up on sit down with ceo david abeles to talk golf the economy inflation supply chains etc . . oh . . and what exactly is carbonwood ? tunein,0,why you need my contact details . i have reported that your atm is not working . what it has to do with my phone number,5,when i sacrifice for pulsex i get a failed transaction due to gas fees . when i select the amount to sacrifice i allow for gas fees but it seems to fail . what am i doing wrong ?,0,i do not have credit card cheaters u decline my application,3
2,yes . no response after that .,1,a good debit card usually alerts you if there s fraud activity . and if it was stolen you can immediately call and cancel it . building credit is great but using it too much actually hurts your credit score,4,john mulaney with the best buy credit card offer is still me sometimes .,1,4 to put it in comparison one of the most popular and invested in mutual funds is the fidelity contrafund which boasts an exceptional 13 average yearly return . many consider it to be the best fund for young investors since it is relatively risky to other funds .,4
3,biden welfare state of united states only created 199 00 jobs . we were told by leftist fake news others are expected to increase by 450 00 jobs in december . economy bidenflation,0,well you did better than me lol i have 3 discs from 2 different sites in transit . . rolling on the floor laughing someone needs to lock up my debit card and paypal after 10pm,6,hdfc00283 how can all be atm s out of service,1,your telling me after 100 years there no canabis policy but crypto in a couple of years after it took money from the traditional financial markets really ?,4
4,seems becomes the agent of the companies . they do not listen customer feedback they only listen the companies feedback . shame on u . please stop wasting tax payers money by helpline . nch samsung refrigerator,1,is blockchain gaming people are always worried about the transaction speed because they worry about their transaction going to fail . how fast and secure is dna cat gaming platform ? if the number of users spikes will transactions on dna cat get congested ?,4,as expected no reply from dominos company regarding egv or any other concern the reason is very simple money ! is customer money has no value ? people note this rule of dominos and make decision regarding dominos,0,i am unable to operate my savings account my debit card is in transit since 25 december and i do not get it why is making a ruckus around the delivery ? ? i am sick . . if i do not receive my parcel today consumer court . watch it fire,2
5,then it is fraudulent . if transactions are happening on sat or sun then it should show transaction date as per sat or sun .,1,totally irrelevant responses and hateful policies that has zero tolerance towards customers care regarding personal loan . please revise your policies if not you are going to lose a whole lot of customers seriously,5,ok sure that sounds great . i guess you just need my seed phrase or qr code right ? happy to give you full access to my pc if you need it my credit card numbers are saved in a text file on my desktop called scammers do not open this,1,woman raising hand medium dark skin tone that would be the best ! !,4
6,is possible to get student loan on low civil score ?,1,reliance capital s administrator appoints bdo india to conduct transaction audit rbsa and duff phelps as . . via,4,1 2 worst service by . . first they asked to pay the amount for policy promising that policy will be done in few days . . and when i asked to cancel the policy as it was delaying they are unable to refund my amount,0,hi i raised a ticket with the support team on 5th jan 2022 . it s been more than the promised 72 hours and no one has responded to it yet . this is the second time i m facing this issue . can anyone help me out ?,3
7,this multiple loan issue of should have resolved immediately but it is still not resolved by this is serious example of crime loot by bank by imposing someone else loan to common man . this leaves us no option to go to consumer court .,1,i tried to withdraw 100 from my account through an atm the transaction got declined but amount got deducted from my account . and when i try to fill a complain it is not getting registered that was i am told by the customer service executives .,5,return my 1750 that was a failed transaction since 25 12 2021 . i have complain and nothing have be done since then,0,good luck . support in under served communities here in minnesota is getting bad . no backers at branches and appointments get cancelled wells fargo is in trouble . customer service is non existent . no branch bankers and on telephone support takes over 45 minutes any time of day ! !,2
8,getting my own money back is impossible what is the right of citizens here .,1,swiggy this is fraud in broad daylight . same item u r chrging me more than restaurant rates along wid dlvry chrgs . and restaurant delivered fre f cost faster than u . need money back .,5,or maybe it s the way we are prioritizing economy over health and safety ?,0,my transaction got failed due to domestic online transaction is disabled . i do not have icici debit card or net banking . how do i activate . if not possible . tell me process how to stop credit card,3
9,google is also a great product but they do not think branding happens automatically . mutual fund companies should spend energy and resources on branding . more so if their products are delivering performance and helping investors .,0,please see my previous tweets for full info . myntra customer care also has no experience . no update from 8 days . fraud fraud myntrafraud in this lockdown situation my money is stuck loudly crying face,0,paypal acting up big time now best of switching payment methods to something else . holding my funds over 5 months now no explanation,0,i replied but there is no response . amazon is cheating people . . amazon thinking people are fool s .,1
