,ComplaintTrain,ComplaintTrainLabel,EmotionTrain,EmotionTrainLabel,SentimentTrain,SentimentTrainLabel,SarcasmTrain,SarcasmTrainLabel
0,well it s about time your back online,0,sent multiple emails however no reaponse from vodafone corporate team 1 2,0,still waiting for someone to get in contact with me about this refund .,1,we had premarital counseling . we discussed the important issues before we married . we took premarital classes . we were supposedly a great match . we have me especially read many books on marriage including the love language stuff . we have been to therapists . cont,0
1,anyone know what is up with the geforce 500 series 580 gpx driver 275 . 33,1,hey we are throwing a aws themed birthday party for a friend who is very passionate about your product . where can we get aws swag,3,a casual friendship may transform into a lasting partnership n . . more for scorpio,2,okay but this is gold,0
2,i knoow,0,love sevenwaters saga,2,always this happens in my oneplus 5 cannot able to play bcoz of login issues in all browser . . even after logged in it again asks for login in,0,meghan markle s interview should not just be a reality check for those of us working in the press . we all should be asking those whom we care about even if we consider them to be privileged whether they are okay .,1
3,so do you know when them item is back in stock thank you,1,she s a robot,3,at least that is what i got when i called .,1,im sorry but which fandom was it who was after us elfs because one of our suju members had a car accident ? and now their maknae hits a taxi so there is no issue at all ?,1
4,i have no idea what you are going through right now . the uphill battle you now face will be one of the mos,0,no eggs on my breakfast sandwich nice you can never get the order right,0,one thing i will never do as a mother is force my older children to take care of their younger siblings . .,2,what about where the data file for 1 in lock down will not send attach to send ?,0
5,hello sir . . i am a user of ur laptop with serial number wb15327113 and getting horrible service from ur team as i have visited ur service center more than 5 times and every time there is a new dead line been given to me and still my problem,1,i have yet to see a fifty shades movie so i think i m going to binge watch here soon,3,ur the best,2,yeah and the world is not round . .,1
6,facts my guy,0,still not working here . just got the big red alert message not protected etc .,0,account no 37968132 current meter reading 8083,1,that show is great and is being slept on when it comes to cw shows .,0
7,from the back to back defending cup champs to the new guys . .,0,aw thank you ! ! heart exclamation,2,i just gave 5 stars to felicia at for the great service i received !,2,if a republican chairman repeatedly tried to shush a female democrat member like schiff has done to there would be hell to pay in the press and beyond .,0
8,that ed hardy style ?,0,can i return online purchases to a house of fraser concession if i have the delivery note and order details ?,3,why has my package been out for delivery for 4 days ?,1,i was feeling positive today but then i started listening to nf and now i feel the same way i did before,0
9,thank you for a better h2 styling . i will actually use it now !,0,my corporate accountant is filing extension for me and the company . can i file using turbo tax after ?,3,is geforce now currently down for maintenance ? have been unable to start any game for 2 hrs on mac os client . found other posts on geforce now forums with same issue .,1,i just bought this outfit in black for work and damn i felt good ahhaahha do not mind the shirt i should havite worn something black to try this out haha,0
10,family christmas pictures coming real soon,0,try appbundle 2 for iphone and ipad ! get 250 apps in 1 including games utilities camera and entertainment apps .,2,david with the head of goliath guido cagnacci italian 1601 1663 google arts and culture me,1,and epstein committed suicide its always a conspiracy dont trust the chicken,1
11,is xbox going to be showing the super bowl again like last year ?,0,,3,right . omg my dream,2,14 years of some hearts an iconic album that launched the career of a superstar it is the best selling debut album by a female artist in country music history . what are your favorite three songs from the album ?,0
12,my package is stuck less than an hour away and supposed to be here today . can i just go pick it up since,0,does the giulia come with a compact fullsize spare ? i know the quadrifoglio has a tire repair kit .,3,my brand new airplane to baltimore squeaked like a styrofoam take out container in the back of a 1982 datsun . needdrinks,2,hulu no ads 13 netflix 12 hbo now max 15 reportedly disney 7 prime 9 cbs all access 6 apple tv 5 showtime 11 starz 9 almost 90 a month in streaming services . cutting the cord was supposed to save us how much ?,1
13,is there a reason no unidays codes are working on your website ? help lastminutepresents,1,how istaiwan ?,3,i need a phone number or an email address to receive assistance about a product . thank you ! sent 2 emails but i did not receive any notifications back,2,hey guys with this doral thing maybe we should rethink . if trump is going to do a hat dance on the emoluments clause for foreign favor are these not the countries we would rather have him doing it with ?,1
14,i altered my medium profile picture because i did not like the previous picture . said previous picture however still shows up in google search results because despite me removing it it is still on your server . how do i really get rid of a former,1,how have i never done this . . love it !,2,jeff city is getting a wonderful shepherd,2,i am going to keep it real with y all i am considering leaving . i do not like the way it works around here horny tweets get you attention but a tweet asking for interactions doesn t . seeing some of you kiss the ass of the most privileged self proclaimed best rps,0
15,really disappointing service in your birmingham new street store yesterday customers should be the focus for your employees,1,oh i hear the silverware being dried ! that s my que to go !,3,just got off the phone with clarence from river crossing story in indianapolis . he could not have been more helpful . really went out of his way for me ! ! yay !,2,oppressive uncomfortable dangerous rabbi julia neuberger after said is not doing enough to tackle anti semitism tells she fears jewish people will feel less comfortable if becomes pm r4today,0
16,thanks for the ranking crookston for top online sport management degrees .,0,thank god for that,3,thank you for not delivering my orders because refusing to do there job by doing that worstcarier dubai,2,okay i did not want to say anything about the sea games but muslim athletes are being served pork ? ? cambodian athletes have to sleep on the hotel floor ? ?,0
17,i am attempting to set my hp c309g to work wirelessly . do not know my network,0,hi there do any of your small storage boxes fit the flysta shelving unit ? thanks !,3,clayton holiday cash sweepstakes,2,cursed unis !,1
18,kindly call again,0,hi and help ! all of my emails have disappeared from desktop and remote devices duffydld is the screen name,4,harry styles kiwi video is hilarious and amazing . i m on a break from him fandomwise but it reminded me how much i,2,wewantprabhas20update,0
19,poor performance poor camera results poor network radio after oxygenos 4 . 7 . 4 update on my op5t . any way i could revert back ?,1,morning flight landed an hour ago but all of us that gate checked are still waiting for our bags,0,used bed sheet in nagpur cstm duronto 2nd ac coach,1,like reversal ? like aba ?,0
20,well someone s feeling pretty . .,0,and that is why he needs to go .,0,i spent 100 on a washer in 2014 and the washer is now broken and over 400 to fix a bearing problem .,0,below is some footage of a jam packed auditorium full of ordinary decent people who have come to listen to boris johnson speak . . on a very wet mancunian night,1
21,i love it trench play is,0,great show !,2,i have been looking at return flights from tab on 6 4 18 flight n price given but cannot select help,0,its pretty much the exact same play as kerfoot .,1
22,your bensenville il location is slackin first you are out of melted cheese and now the drive thru is closed 4 hours early ? ?,0,i have a closing shift tonight . lt ; i do not get off until 10 30 . ; . ;,4,nw hwy in farmington hills mi is it a coincidence that my credit card was charged for an additional 103 dollars i think not !,2,when are they going to stop these cyclists from riding on motorways and holding up all the hard working people in their vehicles ?,1
23,very good service in your leeds branch today thank you,0,congratulations,2,great the government closed down and ebay did the same . throttling ebaykillinguseconomy,2,make america think harder math fawk . . still absorbing but i like this dude yanggang theview,0
24,i am in the running to win a 100 gift card thanks to ! earnhoney,0,in this was manifested the love of god toward us because that god sent his only begotten son into the world that,3,please watch,2,doritos do not hit for me anymore,0
